date,price_inr
2023-12-07,5727.0
2023-12-08,5882.21
2023-12-11,5888.85
2023-12-12,5666.41
2023-12-13,5734.47
2023-12-14,5910.429999999999
2023-12-15,5897.15
2023-12-18,5989.28
2023-12-19,6078.09
2023-12-20,6131.21
2023-12-21,6107.97
2023-12-22,6083.070000000001
2023-12-26,6294.72
2023-12-27,6167.7300000000005
2023-12-28,5977.66
2023-12-29,5966.87
2024-01-02,5861.46
2024-01-03,6056.51
2024-01-04,6007.54
2024-01-05,6142.0
2024-01-08,5897.9800000000005
2024-01-09,6011.6900000000005
2024-01-10,5940.3099999999995
2024-01-11,5988.450000000001
2024-01-12,6054.0199999999995
2024-01-16,6028.29
2024-01-17,6041.570000000001
2024-01-18,6168.5599999999995
2024-01-19,6116.2699999999995
2024-01-22,6246.580000000001
2024-01-23,6201.76
2024-01-24,6264.84
2024-01-25,6466.53
2024-01-26,6511.35
2024-01-29,6411.75
2024-01-30,6498.9
2024-01-31,6331.24
2024-02-01,6171.88
2024-02-02,6035.76
2024-02-05,6076.429999999999
2024-02-06,6127.889999999999
2024-02-07,6163.580000000001
2024-02-08,6363.610000000001
2024-02-09,6412.580000000001
2024-02-12,6419.22
2024-02-13,6497.24
2024-02-14,6398.47
2024-02-15,6513.01
2024-02-16,6610.950000000001
2024-02-20,6533.76
2024-02-21,6547.87
2024-02-22,6610.12
2024-02-23,6440.799999999999
2024-02-26,6517.99
2024-02-27,6623.4
2024-02-28,6593.5199999999995
2024-02-29,6575.26
2024-03-01,6714.700000000001
2024-03-04,6612.610000000001
2024-03-05,6566.13
2024-03-06,6646.639999999999
2024-03-07,6624.2300000000005
2024-03-08,6553.679999999999
2024-03-11,6546.21
2024-03-12,6516.330000000001
2024-03-13,6695.610000000001
2024-03-14,6819.28
2024-03-15,6801.0199999999995
2024-03-18,6945.4400000000005
2024-03-19,7004.37
2024-03-20,6871.570000000001
2024-03-21,6805.169999999999
2024-03-22,6731.299999999999
2024-03-25,6840.03
2024-03-26,6840.03
2024-03-27,6818.450000000001
2024-03-28,6968.679999999999
2024-04-01,7016.820000000001
